ANIO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,DIVORCIOS
2017,III Trim,Caldas,Demas Municipios,61
2017,III Trim,Caqueta,Florencia,21
2017,III Trim,Caqueta,Demas Municipios,10
2017,III Trim,Casanare,Yopal,21
2017,III Trim,Casanare,Demas Municipios,13
2017,III Trim,Cauca,Popayan,49
2017,III Trim,Cauca,Demas Municipios,34
2017,III Trim,Cesar,Valledupar,28
2017,III Trim,Cesar,Demas Municipios,24
2017,III Trim,Choco,Quibdo,7
2017,III Trim,Choco,Demas Municipios,2
2017,III Trim,Cordoba,Monteria,40
2017,III Trim,Cordoba,Demas Municipios,27
2017,III Trim,Cundinamarca,Bogota,1493
2017,III Trim,Cundinamarca,Demas Municipios,254
2017,III Trim,Guainia,Inirida,0
2017,III Trim,Guajira,Riohacha,3
2017,III Trim,Guajira,Demas Municipios,6
2017,III Trim,Guaviare,San Jose Del Guaviare,6
2017,III Trim,Huila,Neiva,77
2017,III Trim,Huila,Demas Municipios,51
2017,III Trim,Magdalena,Santa Marta,11
2017,III Trim,Magdalena,Demas Municipios,9
2017,III Trim,Meta,Villavicencio,35
2017,III Trim,Meta,Demas Municipios,23
2017,III Trim,Narinio,Pasto,105
2017,III Trim,Narinio,Demas Municipios,28
2017,III Trim,Norte De Santander,Cucuta,75
2017,III Trim,Norte De Santander,Demas Municipios,41
2017,III Trim,Putumayo,Mocoa,8
2017,III Trim,Putumayo,Demas Municipios,12
2017,III Trim,Quindio,Armenia,113
2017,III Trim,Quindio,Demas Municipios,62
2017,III Trim,Risaralda,Pereira,263
2017,III Trim,Risaralda,Demas Municipios,43
2017,III Trim,San Andres Y Providencia,San Andres Isla,4
2017,III Trim,San Andres Y Providencia,Demas Municipios,1
2017,III Trim,Santander,Bucaramanga,208
2017,III Trim,Santander,Demas Municipios,91
2017,III Trim,Sucre,Sincelejo,34
2017,III Trim,Sucre,Demas Municipios,22
2017,III Trim,Tolima,Ibague,80
2017,III Trim,Tolima,Demas Municipios,55
2017,III Trim,Valle,Cali,581
2017,III Trim,Valle,Demas Municipios,448
2017,III Trim,Vaupes,Mitu,1
2017,III Trim,Vichada,Puerto Carrenio,1
2017,III Trim,Vichada,Demas Municipios,1
2017,IV Trim,Amazonas,Leticia,0
2017,IV Trim,Antioquia,Medellin,387
2017,IV Trim,Antioquia,Demas Municipios,312
2017,IV Trim,Arauca,Arauca,3
2017,IV Trim,Arauca,Demas Municipios,12
2017,IV Trim,Atlantico,Barranquilla,224
2017,IV Trim,Atlantico,Demas Municipios,90
2017,IV Trim,Bolivar,Cartagena,112
2017,IV Trim,Bolivar,Demas Municipios,35
2017,IV Trim,Boyaca,Tunja,28
2017,IV Trim,Boyaca,Demas Municipios,80
2017,IV Trim,Caldas,Manizales,108
2017,IV Trim,Caldas,Demas Municipios,52
2017,IV Trim,Caqueta,Florencia,29
2017,IV Trim,Caqueta,Demas Municipios,7
2017,IV Trim,Casanare,Yopal,24
2017,IV Trim,Casanare,Demas Municipios,24
2017,IV Trim,Cauca,Popayan,49
2017,IV Trim,Cauca,Demas Municipios,33
2017,IV Trim,Cesar,Valledupar,35
2017,IV Trim,Cesar,Demas Municipios,31
2017,IV Trim,Choco,Quibdo,7
2017,IV Trim,Choco,Demas Municipios,3
2017,IV Trim,Cordoba,Monteria,28
2017,IV Trim,Cordoba,Demas Municipios,26
2017,IV Trim,Cundinamarca,Bogota,1545
2017,IV Trim,Cundinamarca,Demas Municipios,251
2017,IV Trim,Guainia,Inirida,2
2017,IV Trim,Guajira,Riohacha,3
2017,IV Trim,Guajira,Demas Municipios,9
